Feature,Importance
distance_to_mid_price,39.617532747203505
imbalance_lvl_5,15.645700344409788
open_interest,8.13330164513047
large_density,7.185686135952532
imbalance_lvl_20,6.403228991168617
atr_volume,5.846986394977447
imbalance_lvl_10,4.722785186558314
atr,4.414404661527653
trades_ratio,2.58802032957532
volume,1.6174794111729305
frac_diff_solusdt_ask_mean_price_0.5,0.8077630977150377
main_ethusdt_dev,0.584770234107666
frac_diff_btcusdt_ask_mean_price_0.5,0.4880395253092996
frac_diff_solusdt_bid_mean_price_0.5,0.4150135914010495
main_btcusdt_dev,0.35538888618059633
vwap,0.2972579985327096
frac_diff_ethusdt_bid_mean_price_0.5,0.25019061360956363
frac_diff_btcusdt_bid_mean_price_0.5,0.23902337072734323
sol_mid_price,0.23539065340909898
frac_diff_ethusdt_ask_mean_price_0.5,0.15203618133106314
side,0.0
